week_index,month_index,weekly_mean_error,weekly_p95_error,baseline_mean,baseline_p95,decision
0,0,370.13586,370.1358642578125,,,🟢
1,0,2.7318938,2.73189377784729,,,🟢
2,0,1.6398463,1.6398463249206543,,,🟢
3,0,0.9778536,0.9778535962104797,,,🟢
4,1,0.5886575,0.5886574983596802,93.8713607788086,315.02527008056626,🟢
5,1,0.36908218,0.36908218264579773,93.8713607788086,315.02527008056626,🟢
6,1,0.2428364,0.24283640086650848,93.8713607788086,315.02527008056626,🟢
7,1,0.17184322,0.17184321582317352,93.8713607788086,315.02527008056626,🟢
8,2,0.13576464,0.13576464354991913,0.3431048095226288,0.5557212010025977,🟢
9,2,0.118402265,0.11840226501226425,0.3431048095226288,0.5557212010025977,🟢
10,2,0.1080493,0.10804930329322815,0.3431048095226288,0.5557212010025977,🟢
11,2,0.09863157,0.09863156825304031,0.3431048095226288,0.5557212010025977,🟢
12,3,0.09100485,0.09100484848022461,0.11521194130182266,0.13316028676927089,🟢
13,3,0.085033074,0.08503307402133942,0.11521194130182266,0.13316028676927089,🟢
14,3,0.079752415,0.07975241541862488,0.11521194130182266,0.13316028676927089,🟢
15,3,0.075801864,0.07580186426639557,0.11521194130182266,0.13316028676927089,🟢
16,4,0.072234124,0.0722341239452362,0.08289805054664612,0.09010908231139182,🟢
17,4,0.068737864,0.06873786449432373,0.08289805054664612,0.09010908231139182,🟢
18,4,0.06576142,0.06576141715049744,0.08289805054664612,0.09010908231139182,🟢
19,4,0.062538646,0.06253864616155624,0.08289805054664612,0.09010908231139182,🟢
20,5,0.059934743,0.059934742748737335,0.06731801480054855,0.07170968502759933,🟢
21,5,0.057677455,0.05767745524644852,0.06731801480054855,0.07170968502759933,🟢
22,5,0.055758487,0.055758487433195114,0.06731801480054855,0.07170968502759933,🟢
23,5,0.05391455,0.05391455069184303,0.06731801480054855,0.07170968502759933,🟢
24,6,0.0518078,0.05180779844522476,0.056821309030056,0.05959614962339401,🟢
25,6,0.04977358,0.04977358132600784,0.056821309030056,0.05959614962339401,🟢
26,6,0.04760362,0.04760361835360527,0.056821309030056,0.05959614962339401,🟢
27,6,0.045432426,0.045432426035404205,0.056821309030056,0.05959614962339401,🟢
28,7,0.04316779,0.04316778853535652,0.048654355108737946,0.05150266587734222,🟢
29,7,0.041162226,0.04116222634911537,0.048654355108737946,0.05150266587734222,🟢
30,7,0.039753083,0.039753083139657974,0.048654355108737946,0.05150266587734222,🟢
31,7,0.038160566,0.03816056624054909,0.048654355108737946,0.05150266587734222,🟢
32,8,0.03733841,0.03733840957283974,0.04056091606616974,0.04286695420742035,🟢
33,8,0.036274113,0.03627411276102066,0.04056091606616974,0.04286695420742035,🟢
34,8,0.034897123,0.03489712253212929,0.04056091606616974,0.04286695420742035,🟢
35,8,0.03337689,0.033376891165971756,0.04056091606616974,0.04286695420742035,🟢
36,9,0.03169106,0.0316910594701767,0.035471633076667786,0.037178765051066875,🟢
37,9,0.030477313,0.030477313324809074,0.035471633076667786,0.037178765051066875,🟢
38,9,0.029193988,0.02919398806989193,0.035471633076667786,0.037178765051066875,🟢
39,9,0.028194051,0.02819405123591423,0.035471633076667786,0.037178765051066875,🟢
40,10,0.027291289,0.02729128859937191,0.029889103025197983,0.03150899754837155,🟢
41,10,0.025763305,0.02576330490410328,0.029889103025197983,0.03150899754837155,🟢
42,10,0.023812968,0.023812968283891678,0.029889103025197983,0.03150899754837155,🟢
43,10,0.022334801,0.02233480103313923,0.029889103025197983,0.03150899754837155,🟢
44,11,0.02105378,0.021053779870271683,0.02480059117078781,0.027062091045081615,🟢
45,11,0.020137884,0.020137883722782135,0.02480059117078781,0.027062091045081615,🟢
46,11,0.019390007,0.019390007480978966,0.02480059117078781,0.027062091045081615,🟢
47,11,0.018594895,0.0185948945581913,0.02480059117078781,0.027062091045081615,🟢
48,12,0.018012287,0.018012287095189095,0.01979414001107216,0.020916395448148252,🟢
49,12,0.017373525,0.017373524606227875,0.01979414001107216,0.020916395448148252,🟢
50,12,0.01655328,0.016553280875086784,0.01979414001107216,0.020916395448148252,🟢
51,12,0.015948923,0.01594892330467701,0.01979414001107216,0.020916395448148252,🟢
52,13,0.015528318,0.015528317540884018,0.016972003504633904,0.017916472721844913,🟢
53,13,0.015084361,0.015084360726177692,0.016972003504633904,0.017916472721844913,🟢
54,13,0.015033859,0.015033858828246593,0.016972003504633904,0.017916472721844913,🟢
55,13,0.015131665,0.015131665393710136,0.016972003504633904,0.017916472721844913,🟢
56,14,0.014263264,0.014263263903558254,0.015194550156593323,0.015468819718807935,🟢
57,14,0.013050351,0.013050351291894913,0.015194550156593323,0.015468819718807935,🟢
58,14,0.0120991655,0.012099165469408035,0.015194550156593323,0.015468819718807935,🟢
59,14,0.01168922,0.011689219623804092,0.015194550156593323,0.015468819718807935,🟢
60,15,0.011576391,0.011576390825212002,0.012775500304996967,0.014081327011808753,🟢
61,15,0.0109944,0.010994399897754192,0.012775500304996967,0.014081327011808753,🟢
62,15,0.010183316,0.010183315724134445,0.012775500304996967,0.014081327011808753,🟢
63,15,0.009491769,0.009491768665611744,0.012775500304996967,0.014081327011808753,🟢
64,16,0.008652423,0.008652422577142715,0.01056146901100874,0.01148909218609333,🟢
65,16,0.008310491,0.008310491219162941,0.01056146901100874,0.01148909218609333,🟢
66,16,0.008006421,0.00800642091780901,0.01056146901100874,0.01148909218609333,🟢
67,16,0.0075622094,0.007562209386378527,0.01056146901100874,0.01148909218609333,🟢
68,17,0.0074167275,0.007416727486997843,0.00813288614153862,0.008601132873445749,🟢
69,17,0.0073578167,0.007357816677540541,0.00813288614153862,0.008601132873445749,🟢
70,17,0.0070135477,0.007013547699898481,0.00813288614153862,0.008601132873445749,🟢
71,17,0.0067129377,0.006712937727570534,0.00813288614153862,0.008601132873445749,🟢
72,18,0.006147115,0.006147115025669336,0.0071252575144171715,0.0074078908655792475,🟢
73,18,0.0056191185,0.005619118455797434,0.0071252575144171715,0.0074078908655792475,🟢
74,18,0.005709418,0.005709418095648289,0.0071252575144171715,0.0074078908655792475,🟢
75,18,0.0054663722,0.005466372240334749,0.0071252575144171715,0.0074078908655792475,🟢
76,19,0.0050665075,0.005066507495939732,0.00573550583794713,0.006081460486166179,🟢
77,19,0.0047326987,0.004732698667794466,0.00573550583794713,0.006081460486166179,🟢
78,19,0.004587246,0.0045872461050748825,0.00573550583794713,0.006081460486166179,🟢
79,19,0.0043613035,0.004361303523182869,0.00573550583794713,0.006081460486166179,🟢
80,20,0.004621269,0.004621269181370735,0.004686939064413309,0.005016436171717942,🟢
81,20,0.0047418545,0.004741854500025511,0.004686939064413309,0.005016436171717942,🟢
82,20,0.0044833794,0.004483379423618317,0.004686939064413309,0.005016436171717942,🟢
83,20,0.0041101887,0.004110188689082861,0.004686939064413309,0.005016436171717942,🟢
84,21,0.0035916446,0.0035916445776820183,0.0044891731813549995,0.0047237667022272944,🟢
85,21,0.0029081465,0.0029081464745104313,0.0044891731813549995,0.0047237667022272944,🟢
86,21,0.0031274834,0.003127483418211341,0.0044891731813549995,0.0047237667022272944,🟢
87,21,0.0030833867,0.00308338669128716,0.0044891731813549995,0.0047237667022272944,🟢
88,22,0.0038049787,0.003804978681728244,0.0031776651740074158,0.0035220204037614165,🟡
89,22,0.003738341,0.0037383409217000008,0.0031776651740074158,0.0035220204037614165,🟡
90,22,0.0038768325,0.0038768325466662645,0.0031776651740074158,0.0035220204037614165,🟡
91,22,0.0040963376,0.004096337594091892,0.0031776651740074158,0.0035220204037614165,🟡
92,23,0.0041210414,0.004121041391044855,0.0038791224360466003,0.004063411836978048,🟡
93,23,0.0046115373,0.004611537326127291,0.0038791224360466003,0.004063411836978048,🟡
94,23,0.0044652643,0.004465264268219471,0.0038791224360466003,0.004063411836978048,🔴
95,23,0.0039789174,0.003978917375206947,0.0038791224360466003,0.004063411836978048,🟢
96,24,0.004162672,0.004162671975791454,0.0038791224360466003,0.004063411836978048,🟡
97,24,0.0041981856,0.004198185633867979,0.0038791224360466003,0.004063411836978048,🟡
98,24,0.0044588754,0.004458875395357609,0.0038791224360466003,0.004063411836978048,🟡
99,24,0.004363969,0.0043639689683914185,0.0038791224360466003,0.004063411836978048,🔴
100,25,0.0043434133,0.004343413282185793,0.0038791224360466003,0.004063411836978048,🟡
101,25,0.004222474,0.004222474060952663,0.0038791224360466003,0.004063411836978048,🟡
102,25,0.0042199427,0.0042199427261948586,0.0038791224360466003,0.004063411836978048,🟡
103,25,0.0037391123,0.003739112289622426,0.0038791224360466003,0.004063411836978048,🟢
104,26,0.003582197,0.003582197008654475,0.004131235647946596,0.0043252723990008235,🟢
105,26,0.004379622,0.004379622172564268,0.004131235647946596,0.0043252723990008235,🟡
106,26,0.0059400634,0.005940063390880823,0.004131235647946596,0.0043252723990008235,🟡
107,26,0.0063659614,0.006365961395204067,0.004131235647946596,0.0043252723990008235,🔴
108,27,0.0058987197,0.0058987196534872055,0.004131235647946596,0.0043252723990008235,🟡
109,27,0.006094741,0.00609474116936326,0.004131235647946596,0.0043252723990008235,🔴
110,27,0.005951257,0.005951256956905127,0.004131235647946596,0.0043252723990008235,🔴
111,27,0.006047055,0.006047055125236511,0.004131235647946596,0.0043252723990008235,🔴
112,28,0.0055976124,0.005597612354904413,0.004131235647946596,0.0043252723990008235,🟡
113,28,0.005195586,0.005195586010813713,0.004131235647946596,0.0043252723990008235,🔴
114,28,0.005886832,0.005886831786483526,0.004131235647946596,0.0043252723990008235,🔴
115,28,0.0078003234,0.00780032342299819,0.004131235647946596,0.0043252723990008235,🔴
116,29,0.009229736,0.009229736402630806,0.004131235647946596,0.0043252723990008235,🟡
117,29,0.007912715,0.007912714965641499,0.004131235647946596,0.0043252723990008235,🔴
118,29,0.005209668,0.005209668073803186,0.004131235647946596,0.0043252723990008235,🔴
119,29,0.0046972986,0.004697298631072044,0.004131235647946596,0.0043252723990008235,🟡
120,30,0.0051187696,0.005118769593536854,0.004131235647946596,0.0043252723990008235,🟡
121,30,0.0047249626,0.0047249626368284225,0.004131235647946596,0.0043252723990008235,🟡
122,30,0.004337434,0.0043374341912567616,0.004131235647946596,0.0043252723990008235,🟢
123,30,0.0044200164,0.004420016426593065,0.004131235647946596,0.0043252723990008235,🟡
124,31,0.0044049243,0.004404924344271421,0.004650295712053776,0.005059698550030589,🟢
125,31,0.004261321,0.004261320922523737,0.004650295712053776,0.005059698550030589,🟢
126,31,0.004054042,0.004054042045027018,0.004650295712053776,0.005059698550030589,🟢
